type,average,p10,p25,p30,p40,p50,p60,p70,p75,p80,p85,p90,p95
desktop,1207.0,47.0,144.0,269.0,422.0,614.0,853.0,1189.0,1411.0,1706.0,2112.0,2762.0,4073.0
mobile,660.0,17.0,59.0,114.0,195.0,302.0,439.0,639.0,816.0,994.0,1232.0,1639.0,2513.0
